sentences,label
"When you omit this qualifier, only the username and email address are searched",0
"For privacy reasons, you cannot search by email domain name",0
"QualifierExampleuser:nameuser:octocat matches the user with the username ""octocat""",0
org:nameorg:electron type:users matches the Electron organization's account name,0
"in:loginkenya in:login matches users with the word ""kenya"" in their username",0
"in:namebolton in:name matches users whose real name contains the word ""bolton",0
"""fullname:firstname lastnamefullname:nat friedman matches a user with the full name ""Nat Friedman",0
""" Note: This search qualifier is sensitive to spacing",0
"in:emaildata in:email matches users with the word ""data"" in their email",0
"Search by number of repositories a user ownsYou can filter users based on the number of repositories they own, using the repos qualifier and greater than, less than, and range qualifiers",0
"QualifierExamplerepos:nrepos:&gt;9000 matches users whose repository count is over 9,000",0
bert repos:10,0
"30 matches users with the word ""bert"" in their username or real name who own 10 to 30 repositories",0
Search by locationYou can search for users by the location indicated in their profile,0
QualifierExamplelocation:LOCATIONrepos:1 location:iceland matches users with exactly one repository that live in Iceland,0
Search by repository languageUsing the language qualifier you can search for users based on the languages of repositories they own,0
QualifierExamplelanguage:LANGUAGElanguage:javascript location:russia matches users in Russia with a majority of their repositories written in JavaScript,0
"jenny language:javascript in:fullname matches users with JavaScript repositories whose full name contains the word ""jenny",0
"""Search by when a user account was createdYou can filter users based on when they joined GitHub with the created qualifier",0
This takes a date as its parameter,0
"Date formatting must follow the ISO8601 standard, which is YYYY-MM-DD (year-month-day)",0
"You can also add optional time information THH:MM:SS+00:00 after the date, to search by the hour, minute, and second",0
"That's T, followed by HH:MM:SS (hour-minutes-seconds), and a UTC offset (+00:00)",0
"When you search for a date, you can use greater than, less than, and range qualifiers to further filter results",0
"For more information, see ""Understanding the search syntax",0
"""QualifierExamplecreated:YYYY-MM-DDcreated:&lt;2011-01-01 matches users that joined before 2011",0
"created:&gt;=2013-05-11 matches users that joined at or after May 11th, 2013",0
"created:2013-03-06 location:london matches users that joined on March 6th, 2013, who list their location as London",0
created:2010-01-01,0
"2011-01-01 john in:login matches users that joined between 2010 and 2011 with the word ""john"" in their username",0
"Search by number of followersYou can filter users based on the number of followers that they have, using the followers qualifier with greater than, less than, and range qualifiers",0
"QualifierExamplefollowers:nfollowers:&gt;=1000 matches users with 1,000 or more followers",0
sparkle followers:1,0
"10 matches users with between 1 and 10 followers, with the word ""sparkle"" in their name",0
"Further reading""Sorting search results""",0
About searching GitHub MarketplaceYou can find apps and actions on GitHub Marketplace in two ways:Search from in GitHub Marketplace,0
Search across all of GitHub,0
com and then filter the results,0
"Searching in GitHub MarketplaceAt the top of any page, click Marketplace",0
Type any keywords and press Enter,1
"Optionally, filter your results by clicking one or more options in the left sidebar",1
Searching across GitHub,0
comAnytime you search across all of GitHub,0
"com, you can filter the results to see matching apps and actions from GitHub Marketplace",0
Navigate to https://github,1
com/search,1
Type any keywords and press Enter,1
"In the left sidebar, click Marketplace",1
"Further reading""About GitHub Marketplace""""Using actions from GitHub Marketplace in your workflow""",0
"About issuesYou can collect user feedback, report software bugs, and organize tasks you'd like to accomplish with issues in a repository",0
Issues can act as more than just a place to report software bugs,0
Other conversations are more suitable for discussions,0
"You can use discussions to ask and answer questions, share information, make announcements, and conduct or participate in conversations about a project",0
"For more information, see ""About discussions",0
"""You cannot convert a discussion to an issue",0
You can link a pull request to an issue to show that a fix is in progress and to automatically close the issue when someone merges the pull request,0
"For more information, see ""Linking a pull request to an issue",0
"""To stay updated on the most recent comments in an issue, you can watch an issue to receive notifications about the latest comments",0
"For more information, see ""About notifications",0
""" To quickly find links to recently updated issues you're subscribed to, visit your dashboard",0
"For more information, see ""About your personal dashboard",0
"""Working with issuesWith issues, you can:Track and prioritize your work using project boards",0
"For more information, see ""Using project boards",0
"""Create new issues to track out-of-scope feedback from a comment in an issue or a pull request review",0
"For more information, see ""Opening an issue from a comment",0
"""Create issue templates to help contributors open meaningful issues",0
"For more information, see ""About issue and pull request templates",0
"""Transfer open issues to other repositories",0
"For more information, see ""Transferring an issue to another repository",0
"""Pin important issues to make them easier to find, preventing duplicate issues and reducing noise",0
"For more information, see ""Pinning an issue to your repository",0
"""Track duplicate issues using saved replies",0
"For more information, see ""About saved replies",0
"""Report comments that violate GitHub's Community Guidelines",0
"For more information, see ""Reporting abuse or spam",0
"""Issues can also be assigned to other users, tagged with labels for quicker searching, and grouped together with milestones",0
Note: GitHub Discussions is currently in beta and subject to change,0
"About searching for discussionsYou can search for discussions globally across all of GitHub, or search for discussions within a particular organization or repository",0
"For more information, see ""About searching on GitHub",0
"""Tips:For a list of search syntaxes that you can add to any search qualifier to further improve your results, see ""Understanding the search syntax""",0
Use quotations around multi-word search terms,0
"For example, if you want to search for issues with the label ""In progress,"" you'd search for label:""in progress""",0
Search is not case sensitive,0
"Search by the title, body, or commentsWith the in qualifier you can restrict your search for discussions to the title, body, or comments",0
"You can also combine qualifiers to search a combination of title, body, or comments",0
"When you omit the in qualifier, GitHub searches the title, body, and comments",0
"QualifierExamplein:titlewelcome in:title matches discussions with ""welcome"" in the title",0
"in:bodyonboard in:title,body matches discussions with ""onboard"" in the title or body",0
"in:commentsthanks in:comments matches discussions with ""thanks"" in the comments for the discussion",0
"Search within a user's or organization's repositoriesTo search discussions in all repositories owned by a certain user or organization, you can use the  user or org qualifier",0
"To search discussions in a specific repository, you can use the repo qualifier",0
"QualifierExampleuser:USERNAMEuser:octocat feedback matches discussions with the word ""feedback"" from repositories owned by @octocat",0
org:ORGNAMEorg:github matches discussions in repositories owned by the GitHub organization,0
repo:USERNAME/REPOSITORYrepo:nodejs/node created:&lt;2021-01-01 matches discussions from @nodejs' Node,0
js runtime project that were created before January 2021,0
Filter by repository visibilityYou can filter by the visibility of the repository containing the discussions using the is qualifier,0
"For more information, see ""About repository visibility",1
"""QualifierExampleis:publicis:public matches discussions in public repositories",0
is:internalis:internal matches discussions in internal repositories,0
"is:privateis:private tiramisu matches discussions that contain the word ""tiramisu"" in private repositories you can access",0
Search by authorThe author qualifier finds discussions created by a certain user,0
"QualifierExampleauthor:USERNAMEcool author:octocat matches discussions with the word ""cool"" that were created by @octocat",0
"bootstrap in:body author:octocat matches discussions created by @octocat that contain the word ""bootstrap"" in the body",0
Search by commenterThe commenter qualifier finds discussions that contain a comment from a certain user,0
"QualifierExamplecommenter:USERNAMEgithub commenter:becca org:github matches discussions in repositories owned by GitHub, that contain the word ""github,"" and have a comment by @becca",0
Search by a user that's involved in a discussionYou can use the involves qualifier to find discussions that involve a certain user,0
"The qualifier returns discussions that were either created by a certain user, mention the user, or contain comments by the user",0
"The involves qualifier is a logical OR between the author, mentions, and commenter qualifiers for a single user",0
QualifierExampleinvolves:USERNAMEinvolves:becca involves:octocat matches discussions either @becca or @octocat are involved in,0
"NOT beta in:body involves:becca matches discussions @becca is involved in that do not contain the word ""beta"" in the body",0
"Search by number of commentsYou can use the comments qualifier along with greater than, less than, and range qualifiers to search by the number of comments",0
"For more information, see ""Understanding the search syntax",0
"""QualifierExamplecomments:ncomments:&gt;100 matches discussions with more than 100 comments",0
comments:500,0
"1000 matches discussions with comments ranging from 500 to 1,000",0
"Search by number of interactionsYou can filter discussions by the number of interactions with the interactions qualifier along with greater than, less than, and range qualifiers",0
The interactions count is the number of reactions and comments on a discussion,0
"For more information, see ""Understanding the search syntax",0
"""QualifierExampleinteractions:n interactions:&gt;2000 matches discussions with more than 2,000 interactions",0
interactions:500,0
"1000 matches discussions with interactions ranging from 500 to 1,000",0
"Search by number of reactionsYou can filter discussions by the number of reactions using the reactions qualifier along with greater than, less than, and range qualifiers",0
"For more information, see ""Understanding the search syntax",0
"""QualifierExamplereactions:n reactions:&gt;1000 matches discussions with more than 500 reactions",0
reactions:500,0
"1000 matches discussions with reactions ranging from 500 to 1,000",0
"Search by when a discussion was created or last updatedYou can filter discussions based on times of creation, or when the discussion was last updated",0
"For discussion creation, you can use the created qualifier; to find out when an discussion was last updated, use the updated qualifier",0
Both qualifiers take a date as a parameter,0
"Date formatting must follow the ISO8601 standard, which is YYYY-MM-DD (year-month-day)",0
"You can also add optional time information THH:MM:SS+00:00 after the date, to search by the hour, minute, and second",0
"That's T, followed by HH:MM:SS (hour-minutes-seconds), and a UTC offset (+00:00)",0
"When you search for a date, you can use greater than, less than, and range qualifiers to further filter results",0
"For more information, see ""Understanding the search syntax",0
"""QualifierExamplecreated:YYYY-MM-DDcreated:&gt;2020-11-15 matches discussions that were created after November 15, 2020",0
"updated:YYYY-MM-DDweird in:body updated:&gt;=2020-02-01 matches discussions with the word ""weird"" in the body that were updated after December 2020",0
"Further reading""Sorting search results""",0
"If your account uses a paid GitHub product, you can directly contact GitHub Support",0
"If your account uses GitHub Free for user accounts and organizations, you can contact GitHub Support or GitHub Premium Support to report account, security, and abuse issues",0
"For more information, see ""About GitHub Support",0
"""If you do not have an enterprise account, please use the GitHub Enterprise Support portal to submit tickets",0
"For more information about enterprise accounts, see ""About enterprise accounts",0
"""Submitting a ticket using the GitHub Support portalNavigate to the GitHub Support portal",0
"Under ""Name,"" type your name",1
"Use the Email drop-down menu, and select the email address you'd like GitHub Support to contact",1
"Under ""Subject"", type a descriptive title for the issue you're having",1
"Under ""How can we help"", provide any additional information that will help the Support team troubleshoot the problem",1
"Helpful information may include:Steps to reproduce the issueAny special circumstances surrounding the discovery of the issue (for example, the first occurrence or occurrence after a specific event, frequency of occurrence, business impact of the problem, and suggested urgency)Exact wording of error messagesOptionally, attach files by dragging and dropping, uploading, or pasting from the clipboard",0
Click Send request,1
Submitting a ticket using the GitHub Enterprise Support portalNavigate to the GitHub Enterprise Support portal,0
"Click Submit a TicketUnder ""Your email address"", type the email address associated with your GitHub account",0
"Under ""Subject"", type a descriptive title for your issue",1
"Under ""Description"", provide any additional information that will help the GitHub Enterprise Support team troubleshoot the problem",1
"Helpful information may include:Steps to reproduce the issueAny special circumstances surrounding the discovery of the issue (for example, the first occurrence or occurrence after a specific event, frequency of occurrence, business impact of the problem, and suggested urgency)Exact wording of error messagesFrom the GitHub Enterprise Product drop-down menu, select GitHub Enterprise Cloud",0
"From the ""Priority"" drop-down menu, select the appropriate urgency",1
"For more information, see ""Assigning a priority to a support ticket",1
"""Choose Urgent to report critical system failure",1
"Choose High to report issues impacting business operations, including removing sensitive data (commits, issues, pull requests, uploaded attachments) from your own accounts and organization restorations, or to report critical bugs",1
"Choose Normal to request account recovery or spam unflagging, report user login issues, and to report non-critical bugs",1
"Choose Low to ask general questions and submit requests for new features, purchases, training, or health checks",1
"From the ""Global Region"" drop-down menu, select APAC (Asia Pacific), EMEA (Europe, the Middle East, and Africa), or Americas as your region",1
"Click Add file, then attach the diagnostics file you downloaded to include diagnostics with your support ticket",1
Click Submit,1
"Further reading""GitHub's products""""About GitHub Support""""About GitHub Premium Support for GitHub Enterprise Cloud",0
"""",1
"Warning: If you're currently responsible for paying for GitHub in your organization, removing yourself from the organization does not update the billing information on file for the organization",0
"If you are currently responsible for billing, you must have another owner or billing manager for the organization update the organization's payment method",0
"For more information, see ""Transferring organization ownership",0
"""In the upper-right corner of any page, click your profile photo, then click Settings",0
"In your user settings sidebar, click Organizations",1
"Under ""Organizations"", find the organization you'd like to remove yourself from, then click Leave",1
Contacting your app's provider for supportEvery app in GitHub Marketplace includes a link to contact the app's support team,0
"At the top of any page, click Marketplace",1
Browse to your app's page,1
"In the left sidebar, under ""Developer tools,"" click Support",1
"On the app's support page, follow the instructions on the app's page to contact the app's support team",1
"Further reading""About GitHub Marketplace""""Purchasing and installing apps in GitHub Marketplace""""Managing billing for GitHub Marketplace apps""",0
Note: GitHub Desktop does not support commit signing,0
"To sign a tag, add -s to your git tag command",1
$ git tag -s mytag# Creates a signed tagVerify your signed tag it by running git tag -v [tag-name],0
"$ git tag -v mytag# Verifies the signed tagFurther reading""Viewing your repository's tags""""Checking for existing GPG keys""""Generating a new GPG key""""Adding a new GPG key to your GitHub account""""Telling Git about your signing key""""Associating an email with your GPG key""""Signing commits""",0
Note: GitHub Desktop does not support commit signing,0
"Tips:To configure your Git client to sign commits by default for a local repository, in Git versions 2",0
0,0
"0 and above, run git config commit",0
gpgsign true,0
"To sign all commits by default in any local repository on your computer, run git config --global commit",0
gpgsign true,0
"To store your GPG key passphrase so you don't have to enter it every time you sign a commit, we recommend using the following tools:For Mac users, the GPG Suite allows you to store your GPG key passphrase in the Mac OS Keychain",0
"For Windows users, the Gpg4win integrates with other Windows tools",0
"You can also manually configure gpg-agent to save your GPG key passphrase, but this doesn't integrate with Mac OS Keychain like ssh-agent and requires more setup",0
"If you have multiple keys or are attempting to sign commits or tags with a key that doesn't match your committer identity, you should tell Git about your signing key",0
"When committing changes in your local branch, add the -S flag to the git commit command:$ git commit -S -m your commit message# Creates a signed commitIf you're using GPG, after you create your commit, provide the passphrase you set up when you generated your GPG key",0
"When you've finished creating commits locally, push them to your remote repository on GitHub:$ git push# Pushes your local commits to the remote repositoryOn GitHub, navigate to your pull request",0
"On the pull request, click  Commits",1
"To view more detailed information about the verified signature, click Verified",1
"Further reading""Checking for existing GPG keys""""Generating a new GPG key""""Adding a new GPG key to your GitHub account""""Telling Git about your signing key""""Associating an email with your GPG key""""Signing tags""",0
Notes:The terms of GitHub Premium Support are subject to change without notice and are effective as of September 2018,0
"When you use GitHub's support offerings, the GitHub Privacy Statement and GitHub Data Protection Addendum apply",0
This article contains the terms of GitHub Premium Support for GitHub Enterprise Cloud customers,0
The terms may be different for customers of GitHub Enterprise Server or GitHub Enterprise customers who purchase GitHub Enterprise Server and GitHub Enterprise Cloud together,0
"For more information, see ""About GitHub Premium Support for GitHub Enterprise Server"" and ""About GitHub Premium Support for GitHub Enterprise",0
"""About GitHub Premium SupportGitHub Premium Support offers:Written support, in English, through our support portal 24 hours per day, 7 days per weekPhone support, in English, 24 hours per day, 7 days per weekA Service Level Agreement (SLA) with guaranteed initial response timesAccess to premium contentScheduled health checksManaged servicesGitHub Premium Support plansThere are two GitHub Premium Support plans: Premium and Premium Plus / GitHub Engineering Direct",0
Premium planPremium Plus plan / GitHub Engineering DirectHours of operation24 x 724 x 7Initial response time30 minutes for Urgent4 hours for High30 minutes for Urgent4 hours for HighSupport channelsOnline ticket submissionPhone supportOnline ticket submissionPhone supportScreen share for critical issuesTrainingAccess to premium contentAccess to premium content1 virtual training class per yearAuthorized contacts1025ResourcesPriority ticket handlingPriority ticket handlingNamed Technical Support Account ManagerScheduled checksBi-annual health check and reportingQuarterly health check and reportingQuarterly account reviewsAdministration4 hours of Managed Services per month    Notes:Scheduled checks are limited to one organization per term,0
You can add scheduled checks for additional organizations at any time for an additional fee by contacting our account management team or calling +1 (877) 448-4820,0
"For the Premium Plus plan / GitHub Engineering Direct, 50% of unused Managed Services hours roll over to the next month and expire at the end of the quarter",0
"Signing up for GitHub Premium SupportTo sign up for GitHub Premium Support or upgrade your plan, you can contact our account management team or call +1 (877) 448-4820",0
"Scope of supportIf your support request is outside of the scope of what our team can help you with, we may recommend next steps to resolve your issue outside of GitHub Support",0
"Your support request is possibly out of GitHub Support's scope if the request is primarily about:Third party integrationsHardware setupCI/CD, such as JenkinsWriting scriptsConfiguration of external authentication systems, such as SAML identity providersOpen Source projectsIf you're uncertain if the issue is out of scope, open a ticket and we're happy to help you determine the best way to proceed",0
"Contacting GitHub Premium SupportGitHub Premium Support customers can use the GitHub Support portal to report issues in writing, in English",0
"Hours of operationGitHub Premium Support is available 24 hours a day, 7 days per week",0
"Service Level Agreement response timesFor tickets you submit, support is available 24 hours a day, 7 days per week",0
The initial response time guaranteed by the SLA is dependent on the priority level of the ticket,0
Response time begins when GitHub Premium Support sets the priority level of the ticket,0
A response does not mean the issue has been resolved,0
"Ticket priority levelInitial response timeUrgent30 minutesHigh4 hoursAssigning a priority to a support ticketWhen you contact GitHub Premium Support, you can choose one of four priorities for the ticket: Urgent, High, Normal, or Low",0
"GitHub has the sole discretion to modify the priority of a ticket at any time, and may lower the priority of a ticket after determining and mitigating the primary cause of an issue",0
"PriorityDescriptionExamplesUrgentProduction workflows for your organization or enterprise on GitHub Enterprise Cloud are failing due to critical service errors or outages, and the failure directly impacts the operation of your business",0
Errors or outages on GitHub,0
com affect core Git or web application functionality for all members of your organization or enterpriseHighAccount or security issues with your organization or enterprise on GitHub Enterprise Cloud are causing limited impact to your business,0
"An organization or enterprise owner has unintentionally deleted an organizationAn organization or enterprise member has uploaded sensitive data in a commit, issue, pull request, or issue attachmentNormalMembers of your organization or enterprise on GitHub Enterprise Cloud are experiencing limited or moderate issues with GitHub",0
"com, or you have general concerns or questions about your organization or enterprise",0
"Questions about using APIs and features for your organization or enterpriseIssues with tools for organization data migration that GitHub providesFeatures related to your organization or enterprise not working as expectedGeneral security questions about your organization or enterpriseLowYou have a question or suggestion about your organization or enterprise on GitHub Enterprise Cloud that is not time-sensitive, or does not otherwise block the productivity of your team",0
"Excessive resource usage for your organization or enterpriseRequests for health checksHelp with using Gists, notifications, wikis, GitHub Pages, GitHub Desktop, Atom, or other peripheral services or features with your organization or enterpriseFeature requestsProduct feedbackResolving and closing support ticketsGitHub Premium Support may consider a ticket solved after providing an explanation, recommendation, usage instructions, or workaround instructions,If you use a custom or unsupported plug-in, module, or custom code, GitHub Premium Support may ask you to remove the unsupported plug-in, module, or code while attempting to resolve the issue",0
"If the problem is fixed when the unsupported plug-in, module, or custom code is removed, GitHub Premium Support may consider the ticket solved",0
GitHub Premium Support may close tickets if they're outside the scope of support or if multiple attempts to contact you have gone unanswered,0
"If GitHub Premium Support closes a ticket due to lack of response, you can request that GitHub Premium Support reopen the ticket",0
"Receiving credits for missed responses to support ticketsIf you don't receive an initial response within the guaranteed response time to more than four tickets in a given quarter based on GitHub's fiscal year, you're eligible for a credit",0
"To honor the SLA, GitHub will refund 20% of the quarterly GitHub Premium Support fee in cash",0
"To receive the refund, you must submit a credit request",0
The credit request must be made within 30 days of the end of the quarter during which GitHub Premium Support did not respond to your tickets within the designated response time,0
Credit requests will not be honored if the respective deadline has passed,0
"Once the respective deadline passes, you have waived the ability to claim a refund for the qualified credit",0
"To receive a refund, you must submit a completed credit request to supportcredits@github",0
com,1
"To be eligible, the credit request must:Be sent from an email address associated with your GitHub accountBe received by GitHub by the end of the 30th day after the quarter in which the four qualifying credits occurredInclude ""Credit Request"" in the subject lineThe following information must be included in your credit request:Date (The date must be within 30 days after the quarter based on GitHub’s fiscal year end in which the claims occurred [January 31, April 30, July 31, or October 31]",0
)Customer contact (You must specify both name and email address,0
)Customer addressQualifying credits (You must provide the date of each qualifying credit and the associated ticket number,0
)Name of GitHub Enterprise Cloud organizationTicket numbersAccessing premium contentYou can access premium content by signing in to the GitHub Support portal,0
"Further reading""Submitting a ticket""",0
Note: GitHub Enterprise Cloud customers can sign up for GitHub Premium Support,0
"For more information, see ""About GitHub Premium Support for GitHub Enterprise Cloud",0
"""You can submit priority questions if you have purchased GitHub Enterprise Cloud or if you're a member, outside collaborator, or billing manager of a GitHub organization currently subscribed to GitHub Enterprise Cloud",0
"Questions that qualify for priority responses:Include questions related to your inability to access or use GitHub's core version control functionalityInclude situations related to your account securityDo not include peripheral services and features, such as questions about Gists, GitHub Pages, or email notificationsInclude questions only about organizations currently using GitHub Enterprise CloudTo qualify for a priority response, you must:Submit your question to GitHub Enterprise Support from a verified email address that's associated with an organization currently using GitHub Enterprise CloudSubmit a new support ticket for each individual priority situationSubmit your question from Monday-Friday in your local time zoneUnderstand that the response to a priority question will be received via emailCooperate with GitHub Support and provide all of the information that GitHub Support asks forTip: Questions do not qualify for a priority response if they are submitted on a local holiday in your jurisdiction",0
"The target eight-hour response time:Begins when GitHub Support receives your qualifying questionDoes not begin until you have provided sufficient information to answer the question, unless you specifically indicate that you do not have sufficient informationDoes not apply on weekends in your local timezone or local holidays in your jurisdictionNote: GitHub Support does not guarantee a resolution to your priority question",0
"GitHub Support may escalate or deescalate issues to or from priority question status, based on our reasonable evaluation of the information you give to us",0
"If you need to verify your GitHub email address, see ""Verifying your email address",0
""" If you need to update or add an email address to your GPG key, see ""Associating an email with your GPG key",0
"""Commits and tags may contain several email addresses",0
"For commits, there is the author — the person who wrote the code — and the committer — the person who added the commit to the tree",0
"When signing a commit with Git, whether it be during a merge, cherry-pick, or normal git commit, the committer email address will be yours, even if the author email address isn't",0
Tags are more simple: The tagger email address is always the user who created the tag,0
"If you need to change your committer or tagger email address, see ""Setting your commit email address",0
"""Further reading""About commit signature verification""",0
"When you enable the activity overview section on your profile, viewers can see more information about the types of contributions you make and repositories you're most active in",0
A viewer can only see information in the activity overview about repositories they have read access to,0
"Once enabled, a viewer can also filter your contribution graph and activity timeline for a specific organization",0
"For more information, see ""Viewing contributions on your profile",0
"""In the top right corner of GitHub, click your profile photo, then click Your profile",0
"Above your contributions graph, use the Contribution settings drop-down menu, and select or unselect Activity overview",1
"If your key is expired, you must update the expiration, export the new key, delete the expired key in your GitHub account, and upload the new key to GitHub",0
"Your previous commits and tags will show as verified, as long as the key meets all other verification requirements",0
"If your key is invalid and you don't use another valid key in your key set, but instead generate a new GPG key with a new set of credentials, then your commits made with the revoked or expired key will continue to show as unverified",0
"Also, your new credentials will not be able to resign or verify your old commits and tags",0
"Further reading""About commit signature verification""",0
"Before adding a new GPG key to your GitHub account, you should have:Checked for existing GPG keysGenerated and copied a new GPG keySupported GPG key algorithmsGitHub supports several GPG key algorithms",0
"If you try to add a key generated with an unsupported algorithm, you may encounter an error",0
"RSAElGamalDSAECDHECDSAEdDSAWhen verifying a signature, we extract the signature and attempt to parse its key-id",0
We match the key-id with keys uploaded to GitHub,0
"Until you upload your GPG key to GitHub, we cannot verify your signatures",0
